"Linha" "Municipio" "Estado" "Ano" "POPULACAO" "PIB" "IPTU" "ISS" "ITBI"
"96" "Santo André" "SP" 2007 667891 13259021855 125370446.2 105698613.2 24510796.07
"97" "Santos" "SP" 2007 418288 19506666761 153586382.8 172728054.3 21711754.58
"98" "São Bernardo do Campo" "SP" 2007 781390 25164098224 171048935.4 159938096.9 26058070.88
"99" "São Carlos" "SP" 2007 212956 3602823059 32961652.59 16198964.33 3617705.07
"100" "São José" "SC" 2007 196887 3219962898 14753548.46 12526128.53 4026640.49
"101" "São José do Rio Preto" "SP" 2007 402770 6392526656 51708856.59 45307711.8 9605878.7
"102" "São José dos Campos" "SP" 2007 594948 17636864061 57655438.94 124178441.7 23309201.64
"103" "São José dos Pinhais" "PR" 2007 263622 8524229794 10953084.51 29836544.65 4768370.12
"104" "São Leopoldo" "RS" 2007 207721 2664680043 12781598.41 14368452.86 2971679.62
"105" "São Luís" "MA" 2007 957515 12272006395 24150876.17 168542098 6933962.46
"106" "São Paulo" "SP" 2007 10886518 323154665877 2862007305 4777610802 580062710.4
"107" "São Vicente" "SP" 2007 323599 2161169412 45502101.62 11514813.31 3910096.86
"108" "Serra" "ES" 2007 385370 10402705543 9383068.33 74493413.42 5871716.72
"109" "Sete Lagoas" "MG" 2007 217506 3923938059 7362354.78 11424985.03 1845613.61
"110" "Sobral" "CE" 2007 176895 1751594546 1668635 4585087.03 795247.87
"111" "Sorocaba" "SP" 2007 559157 11913720378 53658357.49 79433148.28 15476415.79
"112" "Sumaré" "SP" 2007 228696 5624049236 15501851.59 17916981.97 2503153.77
"113" "Suzano" "SP" 2007 268777 5321630300 25638651.08 13074517.45 3328399.27
"114" "Taubaté" "SP" 2007 265514 6688084372 31392470.43 30861090.26 4926503.99
"115" "Teresina" "PI" 2007 779939 6536373473 14292843.23 53994305.44 4219427.1
"116" "Uberaba" "MG" 2007 287760 5411378688 10112693.43 18910026.98 5919167.51
"117" "Uberlândia" "MG" 2007 608369 12499059274 19403140 60909513 12417531
"118" "Várzea Grande" "MT" 2007 230307 2301801739 2505020.96 15680300.67 1307086.6
"119" "Viamão" "RS" 2007 253264 1532805729 2245525.65 3953803.71 1447335.58
"120" "Vila Velha" "ES" 2007 398068 4669601451 13152591.23 54382259.67 9689058.73
"121" "Vitória da Conquista" "BA" 2007 308204 2363426465 5186087 14028410 1299955
"122" "Volta Redonda" "RJ" 2007 255653 6755544424 16676100 35931400 2410100
"123" "Alvorada" "RS" 2008 211276 1074664139 2948766.43 3572075.58 1096509.25
"124" "Americana" "SP" 2008 203283 5294188268 23395896.1 28261936.93 3982635.13
"125" "Ananindeua" "PA" 2008 495480 3085799388 5432145.63 20825703.02 1164117.25
"126" "Anápolis" "GO" 2008 331329 6262948789 22840937.79 17411754.3 5657219.32
"127" "Aparecida de Goiânia" "GO" 2008 494919 3872999981 29520965.61 16768462.25 7893241.45
"128" "Aracaju" "SE" 2008 536785 6759419785 37690182.37 83732176.08 16252874.44
"129" "Arapiraca" "AL" 2008 208447 1389559753 501555.77 5247341.66 768889.33
"130" "Barueri" "SP" 2008 264619 27143412224 11616327.45 369354163.3 25773621.23
"131" "Bauru" "SP" 2008 355675 5984048791 34052030.92 35087688.93 9271288.51
"132" "Belém" "PA" 2008 1424124 15286066419 36518656 154782220 9658035
"133" "Belford Roxo" "RJ" 2008 495694 3646178222 5314758.41 12537238.4 1192286.18
"134" "Belo Horizonte" "MG" 2008 2434642 42255582791 399305622.2 515861368.8 137919450.3
"135" "Betim" "MG" 2008 429507 25281113500 15854129.37 44370697.38 5001408.66
"136" "Blumenau" "SC" 2008 296151 7390215725 26815445.44 47333011.76 8147716.04
"137" "Boa Vista" "RR" 2008 260930 3577244332 4947117.51 19526935.49 1490575.03
"138" "Camaçari" "BA" 2008 227955 11844962481 22732773.48 77802925.14 5774367.89
"139" "Campina Grande" "PB" 2008 381422 3458055091 4026714.01 17837786.54 2523580.23
"140" "Campinas" "SP" 2008 1056644 29303151692 254164931.4 330034497.8 42132771.34
"141" "Campo Grande" "MS" 2008 747189 10460817599 92119582.1 106018460.5 18859832.99
